article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce,money_rub_day,money_dol_day,sec_rub,sec_dol,area,diagonal,diag_in,pixels,diagonal_pixels,ppi,Pixel_Density,Plotn_Town,tchel_Town,km2_Town,scr_dol,Life_Time_Months,payback_Months,profit_Months,profit_Total,sum_1_m
Voronezh016,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/plekhanovskaya-14-pushkinskaya-storona-a,1.2,1.9,480,720,Plehanovskaja; 14 - Pushkinskaja (storona A),8832,10,648,7,62914215,Tsifrovoj lajtposter,1261.71,19.94,0.195,0.003,2.28,2.25,88.47,345600.0,865.33,9.78,151578.95,1491.48,889680,596.51,1072.39,694.44,1.79,692.65,413271.89,470.35
Voronezh017,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/plekhanovskaya-14-pushkinskaya-storona-b,1.2,1.9,480,720,Plehanovskaja; 14 - Pushkinskaja (storona B),8832,10,648,7,62914215,Tsifrovoj lajtposter,1261.71,19.94,0.195,0.003,2.28,2.25,88.47,345600.0,865.33,9.78,151578.95,1491.48,889680,596.51,1072.39,694.44,1.79,692.65,413271.89,470.35
Voronezh018,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/leninskiy-brusilova,3,6,576,288,Leninskij - Brusilova,21000,10,648,7,53477415,Tsifrovoj bilbord,3000.0,47.4,0.463,0.007,18.0,6.71,264.1,165888.0,643.99,2.44,9216.0,1491.48,889680,596.51,68159.25,694.44,47.93,646.51,851181.5,3786.62
Voronezh019,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/generala-lizyukova-62-tts-molodezhnyy,6,13.5,720,576,Generala Lizjukova; 62 (TTs "Molodezhnyj"),12000,10,90,7,53477215,Svetodiodnyj ekran,1714.29,27.09,1.905,0.03,81.0,14.77,581.63,414720.0,922.05,1.59,5120.0,1491.48,889680,596.51,306716.62,694.44,377.4,317.04,-49058.25,3786.62
EKaterinburg016,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/bazovyy-pereulok-47,8.2,5.12,512,320,Bazovyj Pereulok; 47,19642,10,96,7,53477215,Svetodiodnyj ekran,2806.0,44.33,2.923,0.046,41.98,9.67,380.6,163840.0,603.77,1.59,3902.81,2943.88,1377738,468,158962.52,694.44,119.53,574.91,605616.63,3786.62
Ekaterinburg001,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/pervomayskaya-lunacharskogo,8.1,6.1,1024,768,Pervomajskaja - Lunacharskogo,20774,10,288,7,53477215,Svetodiodnyj ekran,2967.71,46.89,1.03,0.016,49.41,10.14,399.21,786432.0,1280.0,3.21,15916.45,2943.88,1377738,468,50459.96,694.44,35.87,658.57,875955.08,1021.25
Ekaterinburg002,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/chelyuskintsev-106,11.5,7.6,1024,768,Cheljuskintsev; 106,20774,10,288,7,53477215,Svetodiodnyj ekran,2967.71,46.89,1.03,0.016,87.4,13.78,542.69,786432.0,1280.0,2.36,8998.08,2943.88,1377738,468,330951.03,694.44,235.27,459.18,314972.95,3786.62
Ekaterinburg003,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/karla-libknekhta-23b-tts-sila-voli-storona-a,6.8,4.6,1024,768,Karla Libknehta; 23B (TTs "SILA VOLI"; storona A),20774,10,288,7,53477215,Svetodiodnyj ekran,2967.71,46.89,1.03,0.016,31.28,8.21,323.22,786432.0,1280.0,3.96,25141.69,2943.88,1377738,468,28412.01,694.44,20.2,674.25,920050.97,908.31
Ekaterinburg004,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/karla-libknekhta-23b-tts-sila-voli-storona-b,6.8,4.6,1024,768,Karla Libknehta; 23B (TTs "SILA VOLI"; storona B),20774,10,288,7,53477215,Svetodiodnyj ekran,2967.71,46.89,1.03,0.016,31.28,8.21,323.22,786432.0,1280.0,3.96,25141.69,2943.88,1377738,468,28412.01,694.44,20.2,674.25,920050.97,908.31
Ekaterinburg005,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/malysheva-44-rubin-storona-a,8.1,6.1,1024,768,Malysheva; 44 ("Rubin"; storona A),20774,10,288,7,53477215,Svetodiodnyj ekran,2967.71,46.89,1.03,0.016,49.41,10.14,399.21,786432.0,1280.0,3.21,15916.45,2943.88,1377738,468,50459.96,694.44,35.87,658.57,875955.08,1021.25
Ekaterinburg006,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/malysheva-44-rubin-storona-b,8.1,6.1,1024,768,Malysheva; 44 ("Rubin"; storona B),20774,10,288,7,53477215,Svetodiodnyj ekran,2967.71,46.89,1.03,0.016,49.41,10.14,399.21,786432.0,1280.0,3.21,15916.45,2943.88,1377738,468,50459.96,694.44,35.87,658.57,875955.08,1021.25
Ekaterinburg007,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/kosmonavtov-ilicha-tts-omega,8.1,6.1,1024,768,Kosmonavtov - Il'icha (TTs "Omega"),20774,10,288,7,53477215,Svetodiodnyj ekran,2967.71,46.89,1.03,0.016,49.41,10.14,399.21,786432.0,1280.0,3.21,15916.45,2943.88,1377738,468,50459.96,694.44,35.87,658.57,875955.08,1021.25
Ekaterinburg008,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/gotvalda-19-g,8.1,6.1,1024,768,Gotval'da; 19 G,20774,10,288,7,53477215,Svetodiodnyj ekran,2967.71,46.89,1.03,0.016,49.41,10.14,399.21,786432.0,1280.0,3.21,15916.45,2943.88,1377738,468,50459.96,694.44,35.87,658.57,875955.08,1021.25
Ekaterinburg009,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/lenina-24-8-ploshchad-1905-goda,16.6,7.6,832,384,Lenina; 24/8 (Ploschad' 1905 goda),41400,10,144,7,53477215,Svetodiodnyj ekran,5914.29,93.45,4.107,0.065,126.16,18.26,718.78,319488.0,916.34,1.27,2532.4,2943.88,1377738,468,477720.61,694.44,170.4,524.04,991433.78,3786.62
Ekaterinburg010,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/malysheva-43-tts-ametist,8.1,4.6,512,288,Malysheva; 43 (TTs "Ametist"),21565,10,144,7,53477215,Svetodiodnyj ekran,3080.71,48.68,2.139,0.034,37.26,9.32,366.73,147456.0,587.44,1.6,3957.49,2943.88,1377738,468,141089.65,694.44,96.61,597.83,731987.37,3786.62
