article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce
Ekaterinburg030,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/chelyuskintsev-b-yeltsina-1a-storona-a,5,15,1152,384,Cheljuskintsev - B. El'tsina; 1A (storona A),33603,7,1440,7,53477615,Tsifrovoj supersajt
Ekaterinburg031,/sverdlovskaya-oblast/yekaterinburg,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/chelyuskintsev-b-yeltsina-1a-storona-b,5,15,1152,384,Cheljuskintsev - B. El'tsina; 1A (storona B),33603,7,1440,7,53477615,Tsifrovoj supersajt
Ivanovo001,/ivanovskaya-oblast,Rossija,Ivanovskaja oblast',Ivanovo,/ivanovskaya-oblast/ivanovo/lezhnevskaya-55-trk-topol,8,6,1024,768,Lezhnevskaja; 55 (TRK "Topol'"),26775,10,288,30,53477215,Svetodiodnyj ekran
Ivanovo002,/ivanovskaya-oblast,Rossija,Ivanovskaja oblast',Ivanovo,/ivanovskaya-oblast/ivanovo/sheremetevskiy-8-marta,5,8,1024,640,Sheremetevskij - 8 Marta,10878,10,288,7,53477215,Svetodiodnyj ekran
Kazan'013,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/yamasheva-61-sb-11-storona-a,12,4,1026,342,Jamasheva; 61 (SB-11) (storona A),17500,5,720,7,53477615,Tsifrovoj supersajt
Kazan'014,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/yamasheva-61-sb-11-storona-b,12,4,1026,342,Jamasheva; 61 (SB-11) (storona B),17500,5,720,7,53477615,Tsifrovoj supersajt
Kazan'015,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/pobedy-89-tts-yuzhnyy-sb-12-storona-a,12,4,1026,342,Pobedy; 89 (TTs Juzhnyj) (SB-12) (storona A),25000,5,720,7,53477615,Tsifrovoj supersajt
Kazan'016,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/pobedy-89-tts-yuzhnyy-sb-12-storona-b,12,4,1026,342,Pobedy; 89 (TTs Juzhnyj) (SB-12) (storona B),25000,5,720,7,53477615,Tsifrovoj supersajt
Kazan'017,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/gvardeyskaya-universiady-sb-3,12,4,1026,342,Gvardejskaja - Universiady (SB-3),16094,5,720,7,53477615,Tsifrovoj supersajt
Kazan'018,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/gorkovskoye-shosse-113-gipermarket-megastroy,3,6,1440,720,Gor'kovskoe shosse; 113 (Gipermarket "Megastroj"),17371,5,1440,7,53477415,Tsifrovoj bilbord
Kazan'019,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/frunze-13,3,6,2880,1440,Frunze; 13,23268,5,1440,7,53477415,Tsifrovoj bilbord
Kazan'020,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/krasnokokshayskaya-131,3,6,2880,1440,Krasnokokshajskaja; 131,23268,5,1440,7,53477415,Tsifrovoj bilbord
Kazan'021,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/krasnokokshayskaya-bolshaya-krylovka,3,6,2880,1440,Krasnokokshajskaja - Bol'shaja Krylovka,23268,5,1440,7,53477415,Tsifrovoj bilbord
Kazan'022,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/bolshaya-krylovka-proletarskaya,3,6,1728,864,Bol'shaja Krylovka - Proletarskaja,19804,5,1440,7,53477415,Tsifrovoj bilbord
