article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce
Новосибирск013,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/pisareva-60-tts-baza,9,6,720,480,Писарева; 60 (ТЦ "База"),9345,10,288,7,53477215,Светодиодный экран
Новосибирск014,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/krasnyy-86-m-gagarinskaya,5,3,496,288,Красный; 86 (м. Гагаринская),21450,10,288,30,53477215,Светодиодный экран
Новосибирск015,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/krasnyy-92-tts-okean,5.3,3,697,382,Красный; 92 (ТЦ "Океан"),10640,10,288,14,53477215,Светодиодный экран
Новосибирск019,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/komsomolskaya-10-tts-magellan,3.2,2.4,320,240,Комсомольская; 10 (ТЦ "Магеллан"),14256,10,288,30,53477215,Светодиодный экран
Новосибирск020,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/karla-marksa-37-2-tts-metromarket,6,8,576,768,Карла Маркса; 37/2 (ТЦ "МетроМаркет"),24552,10,288,30,53477215,Светодиодный экран
Новосибирск022,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/voskhod-zyryanovskaya,4,12,1200,480,Восход - Зыряновская,26338,7,1440,7,53477615,Цифровой суперсайт
Новосибирск024,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/krasnyy-86-pisareva,3,6,1200,480,Красный; 86 - Писарева,17040,7,1440,7,53477415,Цифровой билборд
Новосибирск025,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/krasnyy-77-pisareva,4,12,1200,480,Красный; 77 - Писарева,26338,7,1440,7,53477615,Цифровой суперсайт
Новосибирск026,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/vokzalnaya-magistral-10-1-dimitrova-tts-bonanza,3,6,1200,480,Вокзальная магистраль 10/1 - Димитрова (ТЦ "Бонанза"),17040,7,1440,7,53477415,Цифровой билборд
Новосибирск027,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/bogdana-khmelnitskogo-1-tts-kalininskiy,5,10,1200,480,Богдана Хмельницкого; 1 (ТЦ "Калининский"),40378,7,1440,7,53477615,Цифровой суперсайт
Новосибирск028,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/gogolya-michurina-23-1,3,12,1200,480,Гоголя - Мичурина; 23/1,26338,7,1440,7,53477615,Цифровой суперсайт
Новосибирск030,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/koshurnikova-8-dzerzhinskogo,3,6,1200,480,Кошурникова; 8 - Дзержинского,17040,7,1440,7,53477415,Цифровой билборд
Новосибирск031,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/krasnyy-gogolya,3,6,1200,480,Красный - Гоголя,17040,7,1440,7,53477415,Цифровой билборд
Новосибирск032,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/krasnyy-sverdlova,3,6,1200,480,Красный - Свердлова,17040,7,1440,7,53477415,Цифровой билборд
Новосибирск033,/novosibirskaya-oblast,Россия,Новосибирская область,Новосибирск,/novosibirskaya-oblast/novosibirsk/lenina-12-uritskogo,3,6,1200,480,Ленина; 12 - Урицкого,17040,7,1440,7,53477415,Цифровой билборд
